customer_id,signup_date,region,gender,age_group,acquisition_channel,loyalty_tier
C0001,2023-10-17,Abu Dhabi,Female,18-24,Email,Bronze
C0002,2022-04-25,Cairo,Female,35-44,Google Search,Bronze
C0003,2022-01-26,Sharjah,Male,45-54,Instagram,Gold
C0004,2022-10-09,Abu Dhabi,Female,35-44,Google Search,Bronze
C0005,2022-09-08,Dubai,Female,45-54,Google Search,Bronze
C0006,2022-08-17,Dubai,Male,35-44,Google Search,Gold
C0007,2022-05-23,Dubai,Female,35-44,Email,Bronze
C0008,2022-04-15,Riyadh,Female,45-54,Email,Gold
C0009,2023-11-24,Sharjah,Female,25-34,Email,Bronze
C0010,2023-07-13,Sharjah,Female,25-34,Referral,Silver
C0011,2022-03-31,Dubai,Female,25-34,Direct,Bronze
C0012,2023-08-28,Cairo,Male,55+,Referral,Bronze
C0013,2023-03-09,Riyadh,Female,55+,TikTok,Gold
C0014,2022-02-02,Dubai,Female,18-24,Instagram,Bronze
C0015,2022-01-31,Dubai,Male,35-44,Instagram,Silver
C0016,2022-04-06,Dubai,Male,55+,Instagram,Bronze
C0017,2022-08-12,Dubai,Male,18-24,Email,Bronze
C0018,2022-08-27,Abu Dhabi,Female,35-44,Direct,Gold
C0019,2023-06-02,Abu Dhabi,Female,45-54,Instagram,Bronze
C0020,2023-09-09,Dubai,Male,18-24,TikTok,Silver
C0021,2022-01-28,Sharjah,Female,35-44,Instagram,Platinum
C0022,2023-07-29,Dubai,Male,25-34,TikTok,Silver
C0023,2022-07-23,Dubai,Female,55+,Google Search,Platinum
C0024,2023-10-28,Abu Dhabi,Female,55+,Instagram,Bronze
C0025,2023-12-20,Abu Dhabi,Female,55+,Google Search,Bronze
C0026,2023-07-13,Riyadh,Male,25-34,Instagram,Bronze
C0027,2023-03-06,Dubai,Male,45-54,Google Search,Silver
C0028,2022-08-14,Abu Dhabi,Male,45-54,Google Search,Platinum
C0029,2023-04-05,Abu Dhabi,Male,25-34,Direct,Bronze
C0030,2023-08-27,Dubai,Female,45-54,Email,Silver
C0031,2022-10-12,Sharjah,Female,18-24,Google Search,
C0032,2022-01-07,Dubai,Female,35-44,Email,Silver
C0033,2022-06-13,Dubai,Female,25-34,Referral,Silver
C0034,2023-12-16,Cairo,Female,18-24,Instagram,Platinum
C0035,2023-03-09,Cairo,Female,18-24,Google Search,Silver
C0036,2022-12-15,Riyadh,Female,35-44,Instagram,Bronze
C0037,2022-10-12,Dubai,Female,25-34,Instagram,Bronze
C0038,2022-06-09,Dubai,Male,35-44,Referral,Bronze
C0039,2022-08-09,Sharjah,Male,18-24,Instagram,Bronze
C0040,2022-12-11,Abu Dhabi,Male,25-34,Email,Bronze
C0041,2022-04-15,Dubai,Female,35-44,Referral,Gold
C0042,2022-04-05,Abu Dhabi,Female,45-54,Instagram,
C0043,2023-01-25,Dubai,Male,25-34,Email,Silver
C0044,2022-04-10,Cairo,Female,35-44,Instagram,Bronze
C0045,2023-01-03,Dubai,Female,45-54,TikTok,Gold
C0046,2022-12-19,Sharjah,Male,35-44,Google Search,Silver
C0047,2023-09-11,Dubai,Male,25-34,Direct,Bronze
C0048,2022-09-28,Abu Dhabi,Female,18-24,Email,Silver
C0049,2022-02-14,Abu Dhabi,Female,45-54,Instagram,Silver
C0050,2023-04-16,Dubai,Female,18-24,Email,Bronze
C0051,2023-07-04,Cairo,Female,45-54,TikTok,Silver
C0052,2022-05-08,Riyadh,Female,35-44,Email,
C0053,2023-01-23,Cairo,Female,55+,Direct,Bronze
C0054,2022-03-22,Riyadh,Female,45-54,Direct,Platinum
C0055,2023-07-20,Abu Dhabi,Female,55+,Instagram,Gold
C0056,2022-10-28,Cairo,Male,25-34,Instagram,Silver
C0057,2023-10-06,Dubai,Male,35-44,Email,Silver
C0058,2023-09-26,Dubai,Male,,Google Search,Bronze
C0059,2023-01-06,Dubai,Female,25-34,Direct,Silver
C0060,2023-08-15,Dubai,Female,35-44,Direct,Silver
C0061,2022-07-16,Abu Dhabi,Female,45-54,Google Search,Bronze
C0062,2023-12-23,Dubai,Male,55+,Instagram,Silver
C0063,2022-03-13,Riyadh,Male,35-44,Referral,Gold
C0064,2022-02-16,Abu Dhabi,Male,25-34,Instagram,Silver
C0065,2023-11-09,Dubai,Male,25-34,Direct,Bronze
C0066,2022-08-22,Abu Dhabi,Female,35-44,Google Search,Gold
C0067,2022-10-24,Dubai,Male,25-34,Email,Bronze
C0068,2022-03-23,Riyadh,Male,18-24,Instagram,Bronze
C0069,2022-08-27,Dubai,Female,25-34,Email,Bronze
C0070,2022-04-14,Cairo,Male,25-34,Google Search,Bronze
C0071,2023-01-25,Riyadh,Female,25-34,Email,Gold
C0072,2022-10-12,Dubai,Female,25-34,Instagram,
C0073,2023-04-10,Dubai,Male,18-24,Referral,Bronze
C0074,2023-10-13,Riyadh,Female,18-24,Direct,Gold
C0075,2023-01-09,Sharjah,Female,55+,Instagram,Gold
C0076,2022-06-16,Sharjah,Female,25-34,Instagram,Gold
C0077,2023-01-15,Riyadh,Male,25-34,Instagram,Bronze
C0078,2022-12-30,Dubai,Female,35-44,Email,Silver
C0079,2022-08-03,Abu Dhabi,Female,25-34,Email,Platinum
C0080,2023-11-18,Dubai,Male,,Email,Gold
C0081,2022-10-01,Riyadh,Male,45-54,Instagram,Bronze
C0082,2023-12-20,Sharjah,Female,18-24,Google Search,Bronze
C0083,2023-12-01,Dubai,Female,25-34,Email,Silver
C0084,2023-10-26,Dubai,Male,45-54,Google Search,Gold
C0085,2022-03-15,Dubai,Female,,TikTok,Silver
C0086,2023-09-16,Dubai,Male,25-34,Instagram,Silver
C0087,2023-10-13,Sharjah,Male,35-44,Referral,Bronze
C0088,2022-06-25,Sharjah,Male,18-24,Google Search,Silver
C0089,2023-07-01,Riyadh,Male,55+,Google Search,Gold
C0090,2022-09-08,Abu Dhabi,Male,25-34,Referral,Bronze
C0091,2022-06-17,Dubai,Male,55+,Referral,Gold
C0092,2023-04-19,Sharjah,Female,35-44,TikTok,Platinum
C0093,2023-01-24,Riyadh,Male,35-44,Instagram,Bronze
C0094,2022-10-04,Abu Dhabi,Male,25-34,Instagram,Silver
C0095,2023-10-18,Riyadh,Female,25-34,Referral,Bronze
C0096,2023-12-06,Abu Dhabi,Male,18-24,Email,Gold
C0097,2023-07-25,Abu Dhabi,Female,25-34,Instagram,Silver
C0098,2022-08-13,Abu Dhabi,Male,18-24,Instagram,Silver
C0099,2023-12-03,Dubai,Male,45-54,Instagram,Gold
C0100,2022-11-29,Dubai,Male,25-34,Direct,Bronze
C0101,2022-02-27,Dubai,Male,18-24,Instagram,Gold
C0102,2022-08-23,Sharjah,Male,55+,Google Search,Silver
C0103,2022-02-02,Dubai,Male,45-54,Instagram,Bronze
C0104,2022-11-20,Abu Dhabi,Male,55+,Google Search,Silver
C0105,2023-02-15,Cairo,Male,55+,Instagram,
C0106,2022-10-02,Dubai,Male,18-24,Email,Bronze
C0107,2022-03-09,Abu Dhabi,Male,25-34,Instagram,Gold
C0108,2022-08-05,Riyadh,Male,35-44,Direct,Gold
C0109,2023-08-04,Dubai,Female,35-44,Instagram,Bronze
C0110,2022-11-19,Dubai,Female,18-24,Email,Platinum
C0111,2022-08-06,Dubai,Male,45-54,Direct,Bronze
C0112,2023-11-03,Dubai,Female,25-34,Email,Bronze
C0113,2023-05-27,Cairo,Female,25-34,Email,Bronze
C0114,2023-02-10,Riyadh,Male,35-44,Google Search,Gold
C0115,2023-10-21,Sharjah,Female,35-44,Google Search,Silver
C0116,2023-04-15,Riyadh,Female,35-44,Email,Bronze
C0117,2022-05-27,Riyadh,Male,18-24,TikTok,Bronze
C0118,2022-09-29,Dubai,Male,45-54,Email,Silver
C0119,2022-05-23,Riyadh,Female,25-34,Email,Bronze
C0120,2022-09-10,Abu Dhabi,Female,18-24,Referral,Gold
C0121,2023-07-29,Riyadh,Male,45-54,Google Search,Gold
C0122,2023-07-06,Riyadh,Male,55+,Instagram,Silver
C0123,2022-09-27,Dubai,Male,45-54,Email,Platinum
C0124,2023-08-22,Dubai,Female,45-54,TikTok,Bronze
C0125,2023-03-15,Dubai,Female,35-44,Instagram,Platinum
C0126,2023-08-21,Abu Dhabi,Male,35-44,Referral,Silver
