transaction_id,customer_id,date,order_value,product_category,is_return
T01467,C0061,2023-12-10,121.37,Home & Living,False
T01419,C0124,2023-12-14,110.28,Beauty,False
T00582,C0155,2024-02-10,40.69,Clothing,False
T01518,C0111,2024-02-17,43.91,Electronics,True
T01232,C0171,2024-03-31,89.74,Home & Living,False
T01519,C0388,2024-03-11,53.39,Clothing,False
T01457,C0155,2023-07-24,215.21,Clothing,False
T00545,C0183,2023-08-07,68.4,Beauty,True
T01909,C0401,2024-04-07,325.22,Home & Living,False
T01659,C0302,2023-04-10,89.85,Clothing,True
T01160,C0211,2024-05-17,82.69,Electronics,False
T00866,C0295,2024-01-13,98.82,Clothing,False
T01113,C0042,2022-09-14,83.63,Electronics,False
T00407,C0015,2023-11-16,214.9,Clothing,False
T01613,C0197,2022-06-14,15.27,Sports,False
T00433,C0269,2024-06-12,49.25,Clothing,True
T01005,C0251,2024-03-05,318.48,Clothing,False
T00390,C0302,2023-11-10,260.46,Home & Living,False
T00671,C0325,2024-01-29,74.5,Home & Living,False
T00282,C0133,2023-10-02,54.24,Electronics,False
T00621,C0214,2024-06-04,33.58,Clothing,False
T00180,C0088,2023-10-27,166.77,Clothing,False
T00528,C0345,2023-10-18,60.45,Clothing,False
T00097,C0088,2023-01-11,64.72,Home & Living,False
T00787,C0294,2022-08-10,55.65,Clothing,False
T01585,C0186,2023-11-17,40.4,Electronics,False
T01502,C0477,2023-05-03,54.37,Clothing,False
T00481,C0380,2024-06-10,168.87,Home & Living,False
T01476,C0170,2023-08-28,65.7,Electronics,False
T01715,C0112,2023-12-06,30.64,Home & Living,False
T00602,C0031,2023-08-07,136.09,Clothing,False
T01456,C0049,2022-06-08,89.89,Home & Living,False
T01103,C0099,2024-03-20,79.34,Electronics,False
T00757,C0171,2023-11-24,170.42,Clothing,False
T00361,C0202,2024-02-05,49.56,Beauty,False
T02080,C0291,2023-04-27,40.55,Beauty,False
T00945,C0371,2022-05-10,43.98,Electronics,False
T00030,C0232,2023-12-13,359.58,Clothing,False
T00539,C0022,2024-01-24,82.77,Clothing,False
T00631,C0489,2024-06-06,24.52,Clothing,True
T00255,C0367,2023-12-28,51.03,Sports,False
T00496,C0188,2023-07-15,47.25,Home & Living,False
T00439,C0228,2024-03-18,98.56,Food & Grocery,False
T00953,C0368,2023-09-28,132.22,Clothing,False
T01390,C0210,2023-05-10,143.37,Beauty,False
T00520,C0390,2023-08-12,60.41,Home & Living,False
T01867,C0078,2024-05-30,115.4,Home & Living,False
T01405,C0441,2023-09-11,88.46,Food & Grocery,False
T00101,C0203,2023-06-06,245.19,Electronics,False
T01174,C0211,2024-05-28,71.46,Food & Grocery,False
T01859,C0193,2023-11-03,252.74,Electronics,False
T00810,C0108,2023-08-14,56.05,Electronics,False
T01819,C0035,2023-07-15,313.63,,False
T00529,C0171,2024-01-15,32.64,Electronics,False
T01764,C0263,2023-05-18,50.72,Electronics,True
